"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Armenia","ARM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","733139.080043829","636429.629141281","374865.641793174","353467.300871274","381790.354840498","414389.685450324","441871.452284975","460381.357166831","498694.711761892","520698.383390049","557946.94935148","618417.106774593","706382.567067639","810742.371004591","901234.592407392","1032737.84013499","1177078.32704331","1348179.61411839","1451334.97139693","1254740.15955222","1290180.06803804","1358804.98262874","1463913.58695261","1519017.19230643","1579939.59355417","1636918.04651227","1647494.7623642","1779696.28345506","1882382.66162111","2036900.85655474","1900346.01858136","2019197.84061048","2282206.81004679",
"American Samoa","ASM","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12461.9695068498","12633.541015861","12754.6593551522","12785.1329164775","12351.1093125957","12681.1272901406","12452.8099336208","12047.1047213091","12197.1230104469","12318.1734487203","11920.0610903131","11774.6957260119","12160.7905471398","12751.1291076156","12765.6200444022","12110.0620665952","12700.3138939369","12932.9473172587","13921.0634566672","14011.3245253692","",
"Antigua and Barbuda","ATG","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","12157.9854932389","12649.1225803292","13611.8920136513","14659.287304782","15174.7954270392","15126.019124496","15894.2532473092","17522.2263853615","18952.6379519739","21240.7389263197","22774.5741659285","24100.8179394205","25504.5820306116","26400.4863567458","26845.39711475","26725.9004933575","27634.8087614303","28935.7705152672","27137.7818064856","28349.8094501275","29304.8105815945","30118.640798104","30706.8449357229","32075.5446006262","30150.7577248573","30073.8389792085","31541.7227025296","32994.7682446384","34722.6082710438","38638.8528339205","41660.8954350371","41036.9845407262","35579.5301298886","32345.6444366649","31334.0405170128","32041.7683691858","31553.0469959434","32479.4925814694","33457.5999822106","35053.7741265845","35935.8640898166","38175.6270054351","39621.676780616","32494.0645773979","34417.8761840397","37112.6137175645",
"Australia","AUS","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","27225.3808381997","27351.6169035581","27037.7024762614","28172.8767123288","29553.6849646279","30713.2946961714","30734.1859067891","32262.1408593949","33312.6821550504","34921.1449074452","36696.8897417446","36896.575713071","37641.0412081657","38040.956651719","38613.4227209794","38650.6154178363","39255.6117722511","40211.1753100338","40101.2675860148","41276.9050571862","42014.6338143207","42744.8828205097","43406.9598578053","41864.4994449595","43264.2713697859","44945.1467642646","46056.741174965","46522.372222018","48402.3749099029","49434.1879016197","50449.9585353242","49620.1813048758","49278.0471701595","50818.4721943103","52335.0467395746","53767.194919689","55167.1799151122","56708.8368763521","58736.6420057542","60977.0838852782","62634.9467507203","63098.203183541","64875.8848968541","66129.4250818314","68184.9172431141","69484.3058706307","70431.7341293316","71770.7475198081","72857.0051040512","72705.8929072856","73163.0941709124","73878.9716609078","75433.2434584873","76058.076293158","76864.548281997","77397.2701959335","78278.3795580711","78751.9351105598","79813.7338688265","80344.6158334003","79317.5239616283","80987.7219701792","82977.9973659428",
"Austria","AUT","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10861.6594470119","11400.4756536122","11630.9328108182","12034.6967073595","12686.8973602153","13043.4007981353","13683.1116516584","13989.7515190363","14539.7224825088","15398.9467903276","16315.260598311","17073.4214147837","18028.2322806617","18805.412388291","19513.5063148783","19494.1820735798","20422.7620687262","21451.997309878","21424.146077155","22610.2827698798","23001.752184568","22910.0624809248","23354.0873287264","24087.3188123106","24101.1866267695","24691.8020326544","25244.0100747788","25570.4265553259","26375.8301729512","27277.9104114446","28247.2439550134","28929.1285976811","29211.5035770362","29124.2329361861","29709.2694438263","30455.2432614964","31128.7411498179","31744.4601502427","32845.3040440207","33947.278663878","35008.9582985399","35317.1278390379","35724.2200125539","35885.3171420821","36638.8051541086","37206.6616843884","38301.8092090345","39600.903479205","40053.663427826","38444.9721052391","39057.2379380453","40063.5274880021","40152.6490360429","39926.8711151164","39878.0123364859","39833.5323259551","40189.0343091897","40812.2553442623","41598.9985205623","42042.847232858","39166.4670449162","40773.199749838","42399.9969919916",
"Azerbaijan","AZE","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1599.37544472628","1567.18988351464","1194.80672712864","904.984082297059","716.968584423192","625.100320760978","626.851938683499","656.842305361528","715.701200556047","761.946835363753","839.597060358323","915.595892099813","994.569252136883","1087.82464385907","1178.13082525733","1492.22161978586","1985.10969939478","2453.41068369594","2660.90666864459","2848.51662126534","2956.94515067484","2921.5847301921","2945.4448489767","3076.51773675583","3121.92519852221","3118.70582664661","2988.43213007178","2965.16969244978","2983.68676702914","3032.49542136829","2882.30496790834","3030.78691031047","3159.09117980748",
"Burundi","BDI","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","161299.786064949","135701.255811492","144338.974758589","147211.458641791","152057.459182829","153784.818170098","157088.190248696","174370.966470229","169811.529872506","163813.252016614","194576.642090505","195219.976848582","182864.926959833","195886.462142827","189756.194768242","186534.441458944","197058.37524136","214260.495179033","206361.273077009","204826.438386856","198443.819254346","213763.130822672","206385.325040616","208426.88078678","203760.554901133","222901.812723625","225870.077251629","232937.566649456","239362.880284682","237994.800134805","241378.838843844","248410.369559171","244441.860550558","236939.332519684","226592.425633788","196464.861482377","180817.039605551","178141.652405137","183156.653494252","177057.627625733","171992.77754235","171237.406114608","173923.324130861","166488.818244864","168171.823816768","163522.073864029","166312.927728354","165851.075867925","166907.803702512","164691.777794159","165215.862963282","165895.74599875","167262.861264875","169376.393666455","170749.363458277","160537.705268912","156996.028643367","154213.04405781","152089.315126012","149873.080222231","146113.572202873","146670.50839628","145461.022100339",
"Belgium","BEL","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","10576.0881824716","11065.78826005","11596.2859688885","12010.7782270188","12725.3161615209","13059.2850421326","13380.7344401321","13821.1714490341","14344.3089200471","15252.0574756465","16087.6857442285","16698.4528947205","17514.0200687563","18573.1784530863","19360.0826980505","18924.7074188578","19958.7799304294","20058.9687578011","20609.7859918976","21073.326359599","21985.5924015254","21924.7685004395","22061.2127082538","22131.7671721025","22677.9618263014","23045.689280554","23457.3935265316","23978.02524236","25030.8511781454","25805.3054948244","26535.6647921184","26921.8573547906","27223.2652786546","26856.2957417218","27637.6309944153","28237.5196696476","28554.8159297216","29566.4528257595","30082.1875274429","31076.6163600377","32153.5617607609","32395.5118178363","32801.0986389439","33003.1139731921","34034.1077945717","34633.263149135","35283.7392792046","36313.438173485","36188.7186830443","35173.2919198855","35851.7017808863","35987.9506415139","36029.8415440015","36025.1042013254","36431.6819871645","36960.6311616367","37239.7833211048","37697.4104447604","38199.0318764574","38852.3785401315","36610.7546458826","38729.6609181165","39725.4162708324",
"Benin","BEN","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","388555.526345748","394645.460360863","374938.142287323","386007.41478089","404392.868385277","417984.114000694","424733.721359716","420996.151440058","428510.969840943","431916.650839568","431893.948786202","416483.871258112","433695.747254474","439878.536583854","444392.38336934","412952.591985741","406777.243291028","416678.828909102","411412.984890816","427091.032859875","443976.340781635","474840.59309884","471945.521330609","438749.627522398","460135.008700068","480624.556810283","476836.139396781","455919.496108482","457507.383728535","431235.005723259","455869.070808364","460804.177972381","460113.618582507","465767.878866794","457753.296724817","475541.326130061","483522.33062964","496589.268808362","500800.346056603","511665.678979829","525427.681503762","537025.787845632","545344.098448515","547372.913752962","554579.144052976","546438.954727938","550872.815907303","567300.136994998","577793.062548132","574046.439176871","569228.146957719","569185.863599818","579431.576226988","603348.230092359","623201.433765772","615837.156925185","617905.459861093","633992.938901397","656970.543477287","682096.431609794","688589.565790035","717776.873407071","742329.719451947",
"Burkina Faso","BFA","GDP per capita (constant LCU)","NY.GDP.PCAP.KN","144214.568372735","147895.317939027","154675.362697957","150447.969004161","151534.828743895","154745.205034811","153058.72398836","163819.625133169","166000.568023313","166488.977730487","163834.712097976","163352.057096324","164321.304182759","162196.986621961","172415.364827777","174104.674735161","185006.444771056","181443.203836817","185152.02616263","187041.710421383","183555.019387803","186241.346878672","198529.667540175","193678.327564431","184827.06640645","194845.635613161","204486.783529916","198509.339530214","204469.716299696","203430.24985065","196974.94431553","209479.245277982","204859.150893025","206747.899086135","204252.82403895","210464.235130509","227752.00939441","236002.841534086","246382.567904493","256975.126123309","254130.794811834","262823.015431154","265958.906519486","277946.10877588","281422.669055584","296319.589414251","305169.743281791","308225.415939501","316643.315994332","316603.817048947","333400.10721081","345078.13475089","356374.583223577","365844.508382886","370468.769744943","373720.691276144","384534.293225524","396851.914260528","411509.692604563","423314.787005446","420038.976219723","437303.16764871","432555.860496375",
