country_code,country_name,skill_group_category,skill_group_name,year,value
ar,Argentina,Specialized Industry Skills,Public Health,2015,-19.73
ar,Argentina,Specialized Industry Skills,Contract Law,2015,-16.69
ar,Argentina,Specialized Industry Skills,Power Systems,2015,-32.18
ar,Argentina,Specialized Industry Skills,Healthcare Management,2015,-31.5
ar,Argentina,Specialized Industry Skills,Educational Administration,2015,-41.04
ar,Argentina,Business Skills,Entrepreneurship,2015,46.88
ar,Argentina,Specialized Industry Skills,Medicine,2015,-32.39
ar,Argentina,Specialized Industry Skills,Research,2015,37.25
ar,Argentina,Specialized Industry Skills,Chemical Processing,2015,-72.62
ar,Argentina,Disruptive Tech Skills,Materials Science,2015,0.0
ar,Argentina,Specialized Industry Skills,Product Testing,2015,-23.8
ar,Argentina,Specialized Industry Skills,Earth Science,2015,14.61
ar,Argentina,Business Skills,Bookkeeping,2015,0.0
ar,Argentina,Specialized Industry Skills,Intellectual Property,2015,-43.17
ar,Argentina,Specialized Industry Skills,Ground Transportation,2015,-10.8
ar,Argentina,Specialized Industry Skills,Construction Engineering,2015,-10.96
ar,Argentina,Specialized Industry Skills,Mining,2015,6.32
ar,Argentina,Specialized Industry Skills,Maintenance & Repair,2015,17.07
ar,Argentina,Specialized Industry Skills,Physical Security,2015,10.74
ar,Argentina,Specialized Industry Skills,Electronic Control Systems,2015,-53.34
ar,Argentina,Specialized Industry Skills,Utilities,2015,-14.84
ar,Argentina,Specialized Industry Skills,Instrumentation,2015,12.14
ar,Argentina,Specialized Industry Skills,Oil & Gas,2015,8.5
ar,Argentina,Specialized Industry Skills,Drilling Engineering,2015,33.35
ar,Argentina,Specialized Industry Skills,Sociology,2016,-126.02
ar,Argentina,Business Skills,Affiliate Marketing,2016,-28.22
ar,Argentina,Business Skills,Sales Leads,2016,-157.47
ar,Argentina,Specialized Industry Skills,Industrial Design,2016,-73.58
ar,Argentina,Business Skills,Revenue Analysis,2016,-142.38
ar,Argentina,Business Skills,Partner Development,2016,-203.84
ar,Argentina,Disruptive Tech Skills,Artificial Intelligence (AI),2016,-123.84
ar,Argentina,Specialized Industry Skills,Apparel,2016,-89.59
ar,Argentina,Soft Skills,Problem Solving,2016,-8.87
ar,Argentina,Business Skills,Economics,2016,-77.71
ar,Argentina,Tech Skills,Game Development,2016,-142.58
ar,Argentina,Specialized Industry Skills,Travel Management,2016,-103.77
ar,Argentina,Disruptive Tech Skills,Human Computer Interaction,2016,-100.13
ar,Argentina,Tech Skills,Software Testing,2016,-91.95
ar,Argentina,Specialized Industry Skills,Urban Planning,2016,-135.92
ar,Argentina,Tech Skills,Animation,2016,-83.96
ar,Argentina,Tech Skills,Mobile Application Development,2016,-94.8
ar,Argentina,Specialized Industry Skills,Translation,2016,-84.18
ar,Argentina,Tech Skills,Software Development Life Cycle (SDLC),2016,-69.71
ar,Argentina,Specialized Industry Skills,Photography,2016,-63.41
ar,Argentina,Tech Skills,Scientific Computing,2016,-22.8
ar,Argentina,Disruptive Tech Skills,Aerospace Engineering,2016,7.61
ar,Argentina,Specialized Industry Skills,Interior Design,2016,-35.59
ar,Argentina,Specialized Industry Skills,Analytical Reasoning,2016,-117.37
ar,Argentina,Specialized Industry Skills,Commercial Photography,2016,-52.78
ar,Argentina,Specialized Industry Skills,Linguistics,2016,-93.42
ar,Argentina,Specialized Industry Skills,Theatre,2016,-41.06
ar,Argentina,Specialized Industry Skills,Airlines,2016,-54.51
ar,Argentina,Business Skills,Digital Marketing,2016,-63.5
ar,Argentina,Specialized Industry Skills,Video,2016,-64.95
ar,Argentina,Business Skills,Advertising,2016,-54.79
ar,Argentina,Tech Skills,Information Management,2016,-65.81
ar,Argentina,Specialized Industry Skills,Hospitality Industry,2016,-122.58
ar,Argentina,Business Skills,Growth Strategies,2016,-27.26
ar,Argentina,Specialized Industry Skills,Visual Arts,2016,-29.63
ar,Argentina,Specialized Industry Skills,Professional Sports,2016,-63.08
ar,Argentina,Tech Skills,Computer Graphics,2016,-143.07
ar,Argentina,Soft Skills,Writing,2016,-46.07
ar,Argentina,Specialized Industry Skills,Mathematics,2016,27.52
ar,Argentina,Specialized Industry Skills,Politics,2016,-28.84
ar,Argentina,Specialized Industry Skills,Music,2016,-44.77
ar,Argentina,Disruptive Tech Skills,Development Tools,2016,-44.56
ar,Argentina,Specialized Industry Skills,Retail Packaging,2016,-50.76
ar,Argentina,Specialized Industry Skills,Cosmetology,2016,-27.5
ar,Argentina,Business Skills,Corporate Communications,2016,-48.03
ar,Argentina,Specialized Industry Skills,Volunteer Management,2016,30.95
ar,Argentina,Business Skills,Sales Operations,2016,-52.28
ar,Argentina,Tech Skills,Web Development,2016,-48.17
ar,Argentina,Specialized Industry Skills,Television,2016,-62.57
ar,Argentina,Specialized Industry Skills,Physiology,2016,-114.65
ar,Argentina,Soft Skills,Social Perceptiveness,2016,-126.94
ar,Argentina,Disruptive Tech Skills,Data Science,2016,-24.99
ar,Argentina,Business Skills,Investment Banking,2016,-0.97
ar,Argentina,Business Skills,Compensation & Benefits,2016,7.07
ar,Argentina,Soft Skills,Time Management,2016,86.06
ar,Argentina,Soft Skills,Flexible Approach,2016,-134.43
ar,Argentina,Tech Skills,Graphic Design,2016,-44.86
ar,Argentina,Specialized Industry Skills,Food Service Operations,2016,-84.75
ar,Argentina,Specialized Industry Skills,Editing,2016,-55.72
ar,Argentina,Tech Skills,Data Storage Technologies,2016,-46.0
ar,Argentina,Specialized Industry Skills,Literature,2016,-59.26
ar,Argentina,Business Skills,Product Development,2016,-6.39
ar,Argentina,Specialized Industry Skills,Machining,2016,22.58
ar,Argentina,Specialized Industry Skills,Biomedical Engineering,2016,-99.01
ar,Argentina,Specialized Industry Skills,Dance,2016,-50.75
ar,Argentina,Specialized Industry Skills,Documentation,2016,-47.98
ar,Argentina,Business Skills,Customer Experience,2016,12.26
ar,Argentina,Specialized Industry Skills,Automotive,2016,12.41
ar,Argentina,Business Skills,Management Consulting,2016,-26.92
ar,Argentina,Tech Skills,Computer Hardware,2016,-32.63
ar,Argentina,Business Skills,Product Marketing,2016,-33.55
ar,Argentina,Tech Skills,Enterprise Software,2016,-32.57
ar,Argentina,Specialized Industry Skills,Electronics,2016,12.62
ar,Argentina,Specialized Industry Skills,Air Force,2016,-18.12
ar,Argentina,Specialized Industry Skills,Social Services,2016,-33.28
ar,Argentina,Soft Skills,Teamwork,2016,-7.16
ar,Argentina,Specialized Industry Skills,Foreign Languages,2016,-36.25
ar,Argentina,Business Skills,Competitive Strategies,2016,-88.51
ar,Argentina,Specialized Industry Skills,Public Policy,2016,-37.66
ar,Argentina,Specialized Industry Skills,Journalism,2016,-23.19
ar,Argentina,Specialized Industry Skills,Navy,2016,8.38
ar,Argentina,Specialized Industry Skills,Event Planning,2016,-11.97
ar,Argentina,Business Skills,Inside Sales,2016,-38.33
ar,Argentina,Specialized Industry Skills,Evolutionary Biology,2016,-26.71
ar,Argentina,Specialized Industry Skills,Cooking,2016,-19.5
ar,Argentina,Tech Skills,Social Media,2016,-13.95
ar,Argentina,Specialized Industry Skills,Recruiting,2016,-4.05
ar,Argentina,Disruptive Tech Skills,Genetic Engineering,2016,-47.98
ar,Argentina,Business Skills,People Management,2016,65.41
ar,Argentina,Specialized Industry Skills,Family Medicine,2016,-53.4
ar,Argentina,Business Skills,Commercial Banking,2016,5.41
ar,Argentina,Specialized Industry Skills,K-12 Education,2016,-66.15
ar,Argentina,Specialized Industry Skills,Retail,2016,-17.84
ar,Argentina,Specialized Industry Skills,International Law,2016,-49.68
ar,Argentina,Business Skills,Capital Markets,2016,-3.8
ar,Argentina,Specialized Industry Skills,Environmental Consulting,2016,-22.82
ar,Argentina,Specialized Industry Skills,Wellness,2016,5.45
ar,Argentina,Specialized Industry Skills,Art History,2016,-28.33
ar,Argentina,Specialized Industry Skills,Architecture,2016,3.3
ar,Argentina,Business Skills,Financial Accounting,2016,-15.01
ar,Argentina,Specialized Industry Skills,Cybersecurity,2016,-11.02
ar,Argentina,Specialized Industry Skills,Real Estate,2016,-16.74
ar,Argentina,Soft Skills,Active Learning,2016,-11.92
ar,Argentina,Specialized Industry Skills,Public Safety,2016,19.31
ar,Argentina,Specialized Industry Skills,Pharmaceutical Manufacturing,2016,-31.19
ar,Argentina,Specialized Industry Skills,Environmental Science,2016,-4.05
ar,Argentina,Tech Skills,System Administration,2016,-14.52
ar,Argentina,Soft Skills,Leadership,2016,-4.89
ar,Argentina,Specialized Industry Skills,Criminal Law,2016,-15.28
ar,Argentina,Business Skills,Auditing,2016,-9.57
ar,Argentina,Specialized Industry Skills,Personal Coaching,2016,-25.17
ar,Argentina,Specialized Industry Skills,Organic Chemistry,2016,-15.68
ar,Argentina,Business Skills,Operational Efficiency,2016,67.53
ar,Argentina,Specialized Industry Skills,Law,2016,-30.46
ar,Argentina,Business Skills,Administrative Assistance,2016,20.25
ar,Argentina,Specialized Industry Skills,Telecommunications,2016,25.37
ar,Argentina,Specialized Industry Skills,Physics,2016,0.0
ar,Argentina,Soft Skills,Negotiation,2016,-13.58
ar,Argentina,Specialized Industry Skills,Pharmaceutics,2016,-33.01
ar,Argentina,Specialized Industry Skills,Food Manufacturing,2016,-33.96
ar,Argentina,Specialized Industry Skills,Environmental Engineering,2016,46.33
ar,Argentina,Business Skills,Management Accounting,2016,4.21
ar,Argentina,Tech Skills,Technical Support,2016,-4.73
ar,Argentina,Business Skills,Human Resources (HR),2016,-4.79
ar,Argentina,Specialized Industry Skills,Psychology,2016,-30.98
ar,Argentina,Specialized Industry Skills,Higher Education,2016,-18.58
ar,Argentina,Business Skills,Accounts Payable,2016,13.73
ar,Argentina,Business Skills,Manufacturing Operations,2016,21.16
ar,Argentina,Tech Skills,Computer Networking,2016,21.33
ar,Argentina,Specialized Industry Skills,Inventory Management,2016,-12.64
ar,Argentina,Business Skills,Tax Accounting,2016,-7.16
ar,Argentina,Soft Skills,Communication,2016,53.87
ar,Argentina,Specialized Industry Skills,Radio Production,2016,-29.8
ar,Argentina,Specialized Industry Skills,Nonprofit Management,2016,-14.84
ar,Argentina,Specialized Industry Skills,Maritime Operations,2016,-70.43
ar,Argentina,Business Skills,Payroll Services,2016,39.64
ar,Argentina,Specialized Industry Skills,Agricultural Production,2016,-30.61
ar,Argentina,Tech Skills,Digital Literacy,2016,1.6
ar,Argentina,Specialized Industry Skills,Teaching,2016,-26.96
ar,Argentina,Specialized Industry Skills,Delivery Operations,2016,-43.48
ar,Argentina,Business Skills,Project Management,2016,38.07
ar,Argentina,Business Skills,Business Management,2016,10.38
ar,Argentina,Business Skills,Procurement,2016,6.5
ar,Argentina,Disruptive Tech Skills,Robotics,2016,49.2
ar,Argentina,Business Skills,Employee Learning & Development,2016,26.9
ar,Argentina,Specialized Industry Skills,Labor and Employment Law,2016,-36.6
ar,Argentina,Business Skills,Insurance,2016,5.32
ar,Argentina,Specialized Industry Skills,Public Health,2016,-51.98
ar,Argentina,Specialized Industry Skills,Contract Law,2016,-31.36
ar,Argentina,Specialized Industry Skills,Power Systems,2016,111.17
ar,Argentina,Specialized Industry Skills,Healthcare Management,2016,-29.13
ar,Argentina,Specialized Industry Skills,Educational Administration,2016,-4.46
ar,Argentina,Business Skills,Entrepreneurship,2016,73.67
ar,Argentina,Specialized Industry Skills,Medicine,2016,-33.97
ar,Argentina,Specialized Industry Skills,Research,2016,28.55
